iter	Passed	Remaining
401	20595	5020
402	20646	4969
403	20699	4918
404	20751	4867
405	20800	4815
406	20854	4765
407	20905	4714
408	20960	4663
409	21008	4611
410	21058	4560
411	21106	4508
412	21157	4456
413	21206	4405
414	21253	4353
415	21302	4301
416	21350	4249
417	21403	4198
418	21459	4148
419	21514	4097
420	21561	4045
421	21608	3994
422	21661	3943
423	21713	3892
424	21759	3839
425	21808	3788
426	21855	3736
427	21902	3684
428	21951	3632
429	22000	3581
430	22049	3529
431	22101	3478
432	22151	3427
433	22204	3376
434	22255	3325
435	22304	3273
436	22355	3222
437	22403	3171
438	22454	3120
439	22503	3068
440	22554	3017
441	22605	2966
442	22652	2914
443	22699	2862
444	22749	2811
445	22795	2760
446	22848	2709
447	22898	2657
448	22946	2606
449	22997	2555
450	23053	2504
451	23104	2453
452	23159	2402
453	23210	2351
454	23266	2301
455	23317	2249
456	23370	2199
457	23422	2147
458	23483	2097
459	23535	2046
460	23590	1995
461	23642	1944
462	23696	1893
463	23750	1842
464	23806	1791
465	23873	1741
466	23931	1691
467	23983	1639
468	24045	1589
469	24098	1538
470	24155	1487
471	24208	1436
472	24268	1385
473	24322	1334
474	24374	1282
475	24426	1231
476	24479	1180
477	24530	1129
478	24581	1077
479	24632	1026
480	24678	974
481	24729	923
482	24778	872
483	24826	820
484	24874	769
485	24923	717
486	24971	666
487	25021	615
488	25069	563
489	25122	512
490	25170	461
491	25228	410
492	25276	358
493	25326	307
494	25374	256
495	25426	205
496	25474	153
497	25522	102
498	25583	51
499	25641	0
